condition,seed,agent,time_sec,phase_rad
shared,15138832,26,14.500000,0.251369
shared,15138832,27,14.500000,0.251369
shared,15138832,29,14.500000,0.251369
shared,15138832,30,14.500000,0.251369
shared,15138832,31,14.500000,0.251369
shared,15138832,15,14.520000,0.502696
shared,15138832,23,14.520000,0.502696
shared,15138832,28,14.520000,0.502696
shared,15138832,0,15.000000,0.251370
shared,15138832,1,15.000000,0.251370
shared,15138832,2,15.000000,0.251370
shared,15138832,3,15.000000,0.251370
shared,15138832,4,15.000000,0.251370
shared,15138832,5,15.000000,0.251370
shared,15138832,6,15.000000,0.251370
shared,15138832,7,15.000000,0.251370
shared,15138832,8,15.000000,0.251370
shared,15138832,9,15.000000,0.251370
shared,15138832,10,15.000000,0.251370
shared,15138832,11,15.000000,0.251370
shared,15138832,12,15.000000,0.251370
shared,15138832,13,15.000000,0.251370
shared,15138832,14,15.000000,0.251370
shared,15138832,16,15.000000,0.251370
shared,15138832,17,15.000000,0.251370
shared,15138832,18,15.000000,0.251370
shared,15138832,19,15.000000,0.251370
shared,15138832,20,15.000000,0.251370
shared,15138832,21,15.000000,0.251370
shared,15138832,22,15.000000,0.251370
shared,15138832,24,15.000000,0.251370
shared,15138832,25,15.000000,0.251370
shared,15138832,26,15.000000,0.251370
shared,15138832,27,15.000000,0.251370
shared,15138832,29,15.000000,0.251370
shared,15138832,30,15.000000,0.251370
shared,15138832,31,15.000000,0.251370
shared,15138832,15,15.020000,0.502698
shared,15138832,23,15.020000,0.502698
shared,15138832,28,15.020000,0.502698
shared,15138832,0,15.500000,0.251372
shared,15138832,1,15.500000,0.251372
shared,15138832,2,15.500000,0.251372
shared,15138832,3,15.500000,0.251372
shared,15138832,4,15.500000,0.251372
shared,15138832,5,15.500000,0.251372
shared,15138832,6,15.500000,0.251372
shared,15138832,7,15.500000,0.251372
shared,15138832,8,15.500000,0.251372
shared,15138832,9,15.500000,0.251372
shared,15138832,10,15.500000,0.251372
shared,15138832,11,15.500000,0.251372
shared,15138832,12,15.500000,0.251372
shared,15138832,13,15.500000,0.251372
shared,15138832,14,15.500000,0.251372
shared,15138832,16,15.500000,0.251372
shared,15138832,17,15.500000,0.251372
shared,15138832,18,15.500000,0.251372
shared,15138832,19,15.500000,0.251372
shared,15138832,20,15.500000,0.251372
shared,15138832,21,15.500000,0.251372
shared,15138832,22,15.500000,0.251372
shared,15138832,24,15.500000,0.251372
shared,15138832,25,15.500000,0.251372
shared,15138832,26,15.500000,0.251372
shared,15138832,27,15.500000,0.251372
shared,15138832,29,15.500000,0.251372
shared,15138832,30,15.500000,0.251372
shared,15138832,31,15.500000,0.251372
shared,15138832,15,15.520000,0.502699
shared,15138832,23,15.520000,0.502699
shared,15138832,28,15.520000,0.502699
shared,15138832,0,16.000000,0.251373
shared,15138832,1,16.000000,0.251373
shared,15138832,2,16.000000,0.251373
