agent_id,step,semitone_before,semitone_after,delta_semitones
21,52,-10.133183,-12.173183,-2.040001
21,54,-12.173183,-10.133183,2.040001
22,1,-2.573181,-2.393177,0.180004
22,3,-2.393177,-2.423183,-0.030006
22,5,-2.423183,-2.333181,0.090002
22,7,-2.333181,-2.213184,0.119997
22,9,-2.213184,-2.423183,-0.209999
22,11,-2.423183,-2.633183,-0.209999
22,13,-2.633183,-2.693184,-0.060001
22,15,-2.693184,-2.783180,-0.089996
22,17,-2.783180,-2.603182,0.179998
22,19,-2.603182,-2.753180,-0.149998
22,21,-2.753180,-2.513180,0.240000
22,23,-2.513180,-2.333181,0.179998
22,25,-2.333181,-2.093182,0.240000
22,27,-2.093182,-2.273180,-0.179998
22,29,-2.273180,-2.513180,-0.240000
22,31,-2.513180,-2.633183,-0.120003
22,35,-2.633183,-2.513180,0.120003
22,37,-2.513180,-2.753180,-0.240000
22,39,-2.753180,-2.633183,0.119997
22,41,-2.633183,-2.453178,0.180004
22,43,-2.453178,-2.573181,-0.120003
22,45,-2.573181,-2.393177,0.180004
22,47,-2.393177,-2.483185,-0.090008
22,49,-2.483185,-2.603182,-0.119997
22,51,-2.603182,-0.563181,2.040001
22,53,-0.563181,-0.173183,0.389997
22,55,-0.173183,1.866817,2.040001
23,2,-17.933178,-17.783180,0.149998
23,4,-17.783180,-17.663177,0.120003
23,6,-17.663177,-17.573181,0.089996
23,8,-17.573181,-17.753180,-0.179998
23,10,-17.753180,-17.873182,-0.120003
23,12,-17.873182,-17.963179,-0.089996
23,14,-17.963179,-18.173183,-0.210005
23,16,-18.173183,-18.263180,-0.089996
23,18,-18.263180,-18.353182,-0.090002
23,20,-18.353182,-18.143177,0.210005
23,22,-18.143177,-17.963179,0.179998
23,24,-17.963179,-17.783180,0.179998
23,26,-17.783180,-17.543180,0.240000
23,28,-17.543180,-17.303181,0.240000
23,30,-17.303181,-17.393177,-0.089996
23,32,-17.393177,-17.213184,0.179993
23,34,-17.213184,-17.453178,-0.239994
23,36,-17.453178,-17.333181,0.119997
23,38,-17.333181,-17.153183,0.179998
23,40,-17.153183,-17.243179,-0.089996
23,42,-17.243179,-17.333181,-0.090002
23,44,-17.333181,-17.153183,0.179998
23,46,-17.153183,-17.243179,-0.089996
23,48,-17.243179,-17.333181,-0.090002
23,50,-17.333181,-17.153183,0.179998
