# G(F)=a*H_soc+b*R_soc+c*H_soc*R_soc; H_soc=H_scene-mean_i H(singleton_i); R_soc=R_scene-mean_i R(singleton_i); scene includes adaptive voices plus fixed drone
step,baseline_g_scene,baseline_h_scene,baseline_h_single_mean,baseline_h_social,baseline_r_scene,baseline_r_single_mean,baseline_r_social,nohill_g_scene,nohill_h_scene,nohill_h_single_mean,nohill_h_social,nohill_r_scene,nohill_r_single_mean,nohill_r_social
124,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.131676,1.118744,1.167461,-0.048716,19.357346,0.000550,19.356796
125,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.131676,1.118744,1.167461,-0.048716,19.357346,0.000550,19.356796
126,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.271242,1.126736,1.167460,-0.040724,19.460728,0.000550,19.460178
127,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.324104,1.113135,1.167460,-0.054325,19.499886,0.000550,19.499336
128,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.311438,1.117065,1.167460,-0.050395,19.490503,0.000550,19.489954
129,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.449274,1.121890,1.167460,-0.045570,19.592604,0.000550,19.592054
130,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.476988,1.097018,1.167460,-0.070441,19.613132,0.000550,19.612583
131,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.522015,1.088486,1.167459,-0.078973,19.646486,0.000550,19.645937
132,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.509985,1.089900,1.167459,-0.077559,19.637575,0.000550,19.637026
133,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.532295,1.088652,1.167459,-0.078806,19.654100,0.000550,19.653551
134,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.528744,1.083316,1.167459,-0.084144,19.651470,0.000550,19.650921
135,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.537968,1.096432,1.167459,-0.071027,19.658302,0.000549,19.657753
136,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.553192,1.092913,1.167481,-0.074568,19.669580,0.000550,19.669031
137,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.553192,1.092913,1.167481,-0.074568,19.669580,0.000550,19.669031
138,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.421169,1.077240,1.167480,-0.090240,19.571785,0.000550,19.571236
139,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.606251,1.088408,1.167480,-0.079072,19.708885,0.000552,19.708334
140,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.547541,1.092948,1.167480,-0.074532,19.665396,0.000552,19.664845
141,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.624670,1.087409,1.167304,-0.079895,19.722528,0.000552,19.721977
142,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.640972,1.081889,1.167304,-0.085414,19.734606,0.000552,19.734053
143,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.674963,1.078076,1.167304,-0.089227,19.759785,0.000552,19.759232
144,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.674963,1.078076,1.167304,-0.089227,19.759785,0.000552,19.759232
145,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.676094,1.085928,1.167304,-0.081375,19.760622,0.000552,19.760069
146,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.609264,1.082441,1.167304,-0.084863,19.711119,0.000553,19.710566
147,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.640770,1.081412,1.167304,-0.085891,19.734457,0.000552,19.733904
148,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.570068,1.090700,1.167311,-0.076611,19.682091,0.000559,19.681532
149,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.550468,1.096756,1.167311,-0.070556,19.667572,0.000559,19.667013
150,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.539927,1.095508,1.167311,-0.071803,19.659763,0.000559,19.659204
151,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.537218,1.102187,1.167316,-0.065129,19.657757,0.000559,19.657198
152,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.662954,1.118210,1.167316,-0.049106,19.750895,0.000559,19.750336
153,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.639017,1.115132,1.167316,-0.052184,19.733164,0.000559,19.732605
154,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.635275,1.117386,1.167316,-0.049930,19.730392,0.000559,19.729834
155,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.633755,1.113356,1.167316,-0.053960,19.729265,0.000559,19.728706
156,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.602076,1.121043,1.167316,-0.046273,19.705799,0.000559,19.705240
157,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.555929,1.124342,1.167316,-0.042974,19.671618,0.000559,19.671059
158,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.484264,1.123559,1.167316,-0.043757,19.618534,0.000561,19.617973
159,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.474459,1.113509,1.167288,-0.053779,19.611271,0.000561,19.610710
160,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.516298,1.112982,1.167288,-0.054306,19.642263,0.000561,19.641703
161,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.346123,1.107224,1.167287,-0.060063,19.516207,0.000561,19.515646
